"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/13/2026","Buy to Open","ATAI 08/21/2026 5.00 C","CALL ATAIBECKLEY INC $5 EXP 08/21/26","10","$0.48","$6.62","-$486.62"
"05/12/2026","Buy","CRCL","CIRCLE INTERNET GROUP INCLASS CLASS A","10","$123.38","","-$1233.80"
"05/12/2026","Buy to Open","HOOD 01/15/2027 120.00 C","CALL ROBINHOOD MKTS INC $120 EXP 01/15/27","1","$6.80","$0.66","-$680.66"
"05/11/2026","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","5,000","$1.00","","$5000.00"
"05/11/2026","Buy to Open","PLTR 08/21/2026 160.00 C","CALL PALANTIR TECHNOLOGI$160 EXP 08/21/26","1","$7.90","$0.66","-$790.66"
"05/11/2026","Buy to Open","QS 01/15/2027 12.00 C","CALL QUANTUMSCAPE CORP $12 EXP 01/15/27","1","$1.37","$0.66","-$137.66"
"05/11/2026","Buy to Open","HOOD 01/15/2027 120.00 C","CALL ROBINHOOD MKTS INC $120 EXP 01/15/27","2","$5.70","$1.32","-$1141.32"
"05/11/2026","Sell to Close","HOOD 01/15/2027 120.00 C","CALL ROBINHOOD MKTS INC $120 EXP 01/15/27","1","$5.65","$0.67","$564.33"
"05/11/2026","Buy to Open","ATAI 01/15/2027 5.00 C","CALL ATAIBECKLEY INC $5 EXP 01/15/27","1","$1.10","$0.66","-$110.66"
"05/08/2026","Sell","CYATY","CONTEMPORARY AMPEREX T FUNSPONSORED ADR 1 ADR REP 0.25 ORD SHS","80","$20.8228","$7.00","$1658.82"
"05/08/2026","Buy to Open","HOOD 01/15/2027 120.00 C","CALL ROBINHOOD MKTS INC $120 EXP 01/15/27","1","$5.10","$0.66","-$510.66"
"05/07/2026","Sell to Close","ORCL 05/29/2026 200.00 C","CALL ORACLE CORP $200 EXP 05/29/26","1","$10.69","$0.68","$1068.32"
"05/07/2026","Buy to Open","HOOD 01/15/2027 120.00 C","CALL ROBINHOOD MKTS INC $120 EXP 01/15/27","1","$6.10","$0.66","-$610.66"
"05/07/2026","Buy to Open","MARA 09/18/2026 18.00 C","CALL MARA HLDGS INC $18 EXP 09/18/26","10","$1.21","$6.62","-$1216.62"
"05/07/2026","Buy to Open","TSLA 07/17/2026 470.00 C","CALL TESLA INC $470 EXP 07/17/26","1","$14.40","$0.66","-$1440.66"
"05/07/2026","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","10","$136.84","","-$1368.40"
"05/07/2026","Buy","META","META PLATFORMS INC CLASS CLASS A","10","$621.895","","-$6218.95"
"05/07/2026","Buy","IREN","IREN LTD F","10","$59.79","","-$597.90"
"05/06/2026 as of 05/05/2026","Expired","SPY 05/05/2026 700.00 P","PUT STATE STREET SPDR S&$700 EXP 05/05/26","-1","","",""
"05/05/2026","Buy to Open","RDW 06/12/2026 11.00 C","CALL REDWIRE CORP $11 EXP 06/12/26","1","$0.66","$0.66","-$66.66"
"05/05/2026","Sell","FSLY","FASTLY INC CLASS A","15","$30.43","$0.01","$456.44"
"05/05/2026","Buy to Open","CRCL 06/12/2026 170.00 C","CALL CIRCLE INTERNET GRO$170 EXP 06/12/26","1","$4.00","$0.66","-$400.66"
"05/05/2026","Buy to Open","CRCL 07/17/2026 170.00 C","CALL CIRCLE INTERNET GRO$170 EXP 07/17/26","1","$6.90","$0.66","-$690.66"
"05/01/2026","Buy to Open","TSLA 10/16/2026 460.00 C","CALL TESLA INC $460 EXP 10/16/26","1","$28.90","$0.66","-$2890.66"
"05/01/2026","Buy","TSLA","TESLA INC","10","$394.63","","-$3946.30"
"05/01/2026 as of 04/30/2026","Expired","QQQ 04/30/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 04/30/26","-1","","",""
"05/01/2026 as of 04/30/2026","Expired","QQQ 04/30/2026 555.00 P","PUT INVESCO QQQ TR $555 EXP 04/30/26","-1","","",""
"04/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$73.34"
"04/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","73.34","$1.00","","-$73.34"
"04/30/2026","Buy to Open","META 08/21/2026 800.00 C","CALL META PLATFORMS INC $800 EXP 08/21/26","1","$8.35","$0.66","-$835.66"
"04/29/2026","Credit Interest","","SCHWAB1 INT 03/30-04/28","","","","$0.10"
"04/29/2026","Buy to Open","SPY 05/05/2026 700.00 P","PUT STATE STREET SPDR S&$700 EXP 05/05/26","1","$2.93","$0.66","-$293.66"
"04/29/2026","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","10","$137.134","","-$1371.34"
"04/29/2026","Buy to Open","HOOD 01/15/2027 100.00 C","CALL ROBINHOOD MKTS INC $100 EXP 01/15/27","1","$7.75","$0.66","-$775.66"
"04/29/2026","Buy","HOOD","ROBINHOOD MKTS INC CLASS CLASS A","10","$70.32","","-$703.20"
"04/29/2026","Buy","VELO","VELO3D INC","100","$12.24","","-$1224.00"
"04/29/2026","Buy","HOOD","ROBINHOOD MKTS INC CLASS CLASS A","10","$72.73","","-$727.30"
"04/28/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","2,000","$2.45","$0.49","$4899.51"
"04/28/2026","Buy to Open","QCOM 01/15/2027 175.00 C","CALL QUALCOMM INC $175 EXP 01/15/27","1","$12.20","$0.66","-$1220.66"
"04/27/2026","Buy","TSLA","TESLA INC","10","$379.62","","-$3796.20"
"04/27/2026","Buy","TSLA","TESLA INC","5","$365.47","","-$1827.35"
"04/27/2026 as of 04/24/2026","Expired","TSLA 04/24/2026 500.00 C","CALL TESLA INC $500 EXP 04/24/26","-1","","",""
"04/27/2026 as of 04/24/2026","Expired","TSLA 04/24/2026 470.00 C","CALL TESLA INC $470 EXP 04/24/26","-1","","",""
"04/23/2026","ADR Mgmt Fee","TTE","TOTALENERGIES F","","","","-$0.12"
"04/23/2026","Foreign Tax Paid","TTE","TOTALENERGIES F","","","","-$1.92"
"04/23/2026","Qualified Dividend","TTE","TOTALENERGIES F","","","","$15.02"
"04/20/2026 as of 04/17/2026","Expired","OKLO 04/17/2026 100.00 C","CALL OKLO INC $100 EXP 04/17/26","-1","","",""
"04/17/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","1,000","$2.8229","$0.26","$2822.64"
"04/17/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","500","$2.825","$0.13","$1412.37"
"04/17/2026","Sell to Close","GOOG 05/29/2026 300.00 P","PUT ALPHABET INC $300 EXP 05/29/26","1","$3.05","$0.67","$304.33"
"04/17/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","3,500","$2.87","$0.89","$10044.11"
"04/17/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","1,900","$2.8653","$0.48","$5443.61"
"04/17/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","100","$2.885","$0.03","$288.47"
"04/17/2026","Buy","MSFT","MICROSOFT CORP","5","$424.50","","-$2122.50"
"04/17/2026","Sell","TTE","TOTALENERGIES F","15","$86.2282","$0.03","$1293.39"
"04/17/2026","Buy","NVDA","NVIDIA CORP","10","$201.324","","-$2013.24"
"04/17/2026","Buy to Open","MSTR 01/15/2027 350.00 C","CALL STRATEGY INC $350 EXP 01/15/27","1","$10.50","$0.66","-$1050.66"
"04/17/2026","Buy to Open","GOOG 05/29/2026 300.00 P","PUT ALPHABET INC $300 EXP 05/29/26","1","$3.95","$0.66","-$395.66"
"04/17/2026","Buy","HOOD","ROBINHOOD MKTS INC CLASS CLASS A","12","$90.3326","","-$1083.99"
"04/17/2026","Buy","MSTR","STRATEGY INC CLASS A","20","$160.335","","-$3206.70"
"04/16/2026","Buy to Open","ORCL 05/29/2026 200.00 C","CALL ORACLE CORP $200 EXP 05/29/26","1","$5.65","$0.66","-$565.66"
"04/15/2026","Sell to Close","NVDA 01/15/2027 155.00 P","PUT NVIDIA CORP $155 EXP 01/15/27","1","$9.31","$0.68","$930.32"
"04/15/2026","Sell to Close","SPY 04/17/2026 655.00 P","PUT STATE STREET SPDR S&$655 EXP 04/17/26","1","$0.07","$0.66","$6.34"
"04/15/2026","Sell to Close","SPY 07/31/2026 625.00 P","PUT STATE STREET SPDR S&$625 EXP 07/31/26","1","$7.29","$0.68","$728.32"
"04/15/2026","Buy","TSLA","TESLA INC","10","$393.29","","-$3932.90"
"04/15/2026","Sell to Close","AAPL 08/21/2026 240.00 P","PUT APPLE INC $240 EXP 08/21/26","1","$7.39","$0.68","$738.32"
"04/15/2026","Buy to Open","IONQ 01/15/2027 70.00 C","CALL IONQ INC $70 EXP 01/15/27","1","$6.25","$0.66","-$625.66"
"04/14/2026","Sell to Close","GOOG 09/18/2026 300.00 P","PUT ALPHABET INC $300 EXP 09/18/26","1","$14.65","$0.69","$1464.31"
"04/14/2026","Sell to Close","NVDA 09/18/2026 155.00 P","PUT NVIDIA CORP $155 EXP 09/18/26","1","$5.40","$0.67","$539.33"
"04/14/2026","Sell to Close","QQQ 09/30/2026 585.00 P","PUT INVESCO QQQ TR $585 EXP 09/30/26","3","$19.24","$2.12","$5769.88"
"04/14/2026","Sell to Close","IONQ 01/15/2027 20.00 P","PUT IONQ INC $20 EXP 01/15/27","1","$2.91","$0.67","$290.33"
"04/14/2026","Buy to Open","MARA 01/15/2027 20.00 C","CALL MARA HLDGS INC $20 EXP 01/15/27","10","$1.18","$6.62","-$1186.62"
"04/13/2026 as of 04/10/2026","Expired","SPY 04/10/2026 630.00 P","PUT STATE STREET SPDR S&$630 EXP 04/10/26","-1","","",""
"04/10/2026","Sell to Close","INTC 01/15/2027 50.00 C","CALL INTEL CORP $50 EXP 01/15/27","1","$20.90","$0.70","$2089.30"
"04/10/2026","Buy to Open","PLTR 05/15/2026 165.00 C","CALL PALANTIR TECHNOLOGI$165 EXP 05/15/26","1","$1.48","$0.66","-$148.66"
"04/10/2026","Buy to Open","PLTR 06/18/2026 160.00 C","CALL PALANTIR TECHNOLOGI$160 EXP 06/18/26","1","$3.60","$0.66","-$360.66"
"04/10/2026","Buy to Open","SPY 04/17/2026 655.00 P","PUT STATE STREET SPDR S&$655 EXP 04/17/26","1","$1.04","$0.66","-$104.66"
"04/09/2026","Sell","COP","CONOCOPHILLIPS","20","$124.69","$0.05","$2493.75"
"04/09/2026","Sell","FANG","DIAMONDBACK ENERGY INC","20","$186.19","$0.08","$3723.72"
"04/09/2026","Sell to Close","CVX 12/18/2026 180.00 C","CALL CHEVRON CORP NEW $180 EXP 12/18/26","1","$24.20","$0.71","$2419.29"
"04/08/2026","Sell to Close","VIXW 04/29/2026 20.00 P","PUT CBOE VOLATILITY IDX $20 EXP 04/29/26","1","$0.96","$0.80","$95.20"
"04/01/2026","Buy to Open","SPY 07/31/2026 625.00 P","PUT STATE STREET SPDR S&$625 EXP 07/31/26","1","$19.07","$0.66","-$1907.66"
"04/01/2026","Buy to Open","RDW 01/15/2027 15.00 C","CALL REDWIRE CORP $15 EXP 01/15/27","1","$2.25","$0.66","-$225.66"
"03/31/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$80.89"
"03/31/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","80.89","$1.00","","-$80.89"
"03/31/2026","Buy to Open","QQQ 04/30/2026 555.00 P","PUT INVESCO QQQ TR $555 EXP 04/30/26","1","$10.35","$0.66","-$1035.66"
"03/31/2026","Buy to Open","SPY 04/10/2026 630.00 P","PUT STATE STREET SPDR S&$630 EXP 04/10/26","1","$4.84","$0.66","-$484.66"
"03/31/2026","Sell to Close","SPY 04/02/2026 650.00 C","CALL STATE STREET SPDR S$650 EXP 04/02/26","1","$4.76","$0.66","$475.34"
"03/31/2026","Buy to Open","SPY 04/02/2026 650.00 C","CALL STATE STREET SPDR S$650 EXP 04/02/26","1","$1.68","$0.66","-$168.66"
"03/30/2026","Buy","CNTB","CONNECT BIOPHARMA HLDG F","1,000","$2.79","","-$2790.00"
"03/27/2026","Buy to Open","VIXW 04/29/2026 20.00 P","PUT CBOE VOLATILITY IDX $20 EXP 04/29/26","1","$0.80","$0.80","-$80.80"
"03/25/2026","Buy to Open","TSLA 04/24/2026 470.00 C","CALL TESLA INC $470 EXP 04/24/26","1","$1.33","$0.66","-$133.66"
"03/25/2026","Buy to Open","TSLA 04/24/2026 500.00 C","CALL TESLA INC $500 EXP 04/24/26","1","$0.56","$0.66","-$56.66"
"03/23/2026","Sell to Close","QQQ 04/10/2026 600.00 C","CALL INVESCO QQQ TR $600 EXP 04/10/26","1","$8.13","$0.66","$812.34"
"03/23/2026 as of 03/20/2026","Expired","SPY 03/20/2026 664.00 C","CALL STATE STREET SPDR S$664 EXP 03/20/26","-1","","",""
"03/23/2026 as of 03/20/2026","Expired","OKLO 03/20/2026 115.00 C","CALL OKLO INC $115 EXP 03/20/26","-1","","",""
"03/23/2026 as of 03/20/2026","Expired","SMR 03/20/2026 30.00 C","CALL NUSCALE PWR CORP $30 EXP 03/20/26","-5","","",""
"03/23/2026 as of 03/20/2026","Expired","NVDA 03/20/2026 155.00 P","PUT NVIDIA CORP $155 EXP 03/20/26","-1","","",""
"03/23/2026 as of 03/20/2026","Expired","SPY 03/20/2026 665.00 C","CALL STATE STREET SPDR S$665 EXP 03/20/26","-1","","",""
"03/20/2026","Buy to Open","QQQ 04/10/2026 600.00 C","CALL INVESCO QQQ TR $600 EXP 04/10/26","1","$6.80","$0.66","-$680.66"
"03/20/2026","Sell to Close","QQQ 03/31/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 03/31/26","1","$20.98","$0.66","$2097.34"
"03/20/2026","Sell to Close","NVDA 03/20/2026 175.00 P","PUT NVIDIA CORP $175 EXP 03/20/26","1","$0.52","$0.66","$51.34"
"03/20/2026","Sell to Close","AAPL 03/20/2026 250.00 P","PUT APPLE INC $250 EXP 03/20/26","1","$2.34","$0.66","$233.34"
"03/20/2026","Sell to Close","SLV 06/30/2026 100.00 C","CALL ISHR SILVER TR $100 EXP 06/30/26","1","$1.40","$0.66","$139.34"
"03/20/2026","Sell to Close","SLV 09/30/2026 100.00 C","CALL ISHR SILVER TR $100 EXP 09/30/26","1","$3.30","$0.66","$329.34"
"03/20/2026","Sell","SLVRF","SILVER ONE RES INC F","2,000","$0.3515","$7.34","$695.66"
"03/20/2026","Buy to Open","IREN 01/15/2027 60.00 C","CALL IREN LTD $60 EXP 01/15/27","1","$9.50","$0.66","-$950.66"
"03/20/2026","Sell","IAUM","ISHARES GOLD TRUST MICRO","25","$46.41","","$1160.25"
"03/20/2026","Buy to Open","SPY 03/20/2026 664.00 C","CALL STATE STREET SPDR S$664 EXP 03/20/26","1","$0.26","$0.66","-$26.66"
"03/20/2026","Buy to Open","SPY 03/20/2026 665.00 C","CALL STATE STREET SPDR S$665 EXP 03/20/26","1","$0.17","$0.66","-$17.66"
"03/19/2026","Sell to Close","QQQ 03/31/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 03/31/26","1","$13.03","$0.66","$1302.34"
"03/18/2026","Sell to Close","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","2","$2.40","$1.33","$478.67"
"03/18/2026","Buy to Open","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$3.27","$0.66","-$327.66"
"03/13/2026","Buy to Open","QQQ 09/30/2026 585.00 P","PUT INVESCO QQQ TR $585 EXP 09/30/26","1","$36.13","$0.66","-$3613.66"
"03/13/2026","Sell to Close","QQQ 03/31/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 03/31/26","1","$17.01","$0.66","$1700.34"
"03/13/2026","Buy to Open","IREN 01/15/2027 60.00 C","CALL IREN LTD $60 EXP 01/15/27","1","$10.85","$0.66","-$1085.66"
"03/12/2026","Sell to Close","SPY 03/31/2026 680.00 C","CALL SPDR S&P ...500 $680 EXP 03/31/26","1","$7.14","$0.66","$713.34"
"03/12/2026","Buy to Open","SPY 03/31/2026 680.00 C","CALL SPDR S&P ...500 $680 EXP 03/31/26","1","$8.05","$0.66","-$805.66"
"03/12/2026","Qualified Dividend","FANG","DIAMONDBACK ENERGY INC","","","","$21.00"
"03/10/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-10,000","","",""
"03/10/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","10,000","","",""
"03/09/2026","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","10,000","$1.00","","$10000.00"
"03/09/2026","Buy to Open","INTC 01/15/2027 50.00 C","CALL INTEL CORP $50 EXP 01/15/27","1","$7.78","$0.66","-$778.66"
"03/09/2026","Buy to Open","NVDA 01/15/2027 155.00 P","PUT NVIDIA CORP $155 EXP 01/15/27","1","$17.75","$0.66","-$1775.66"
"03/09/2026","Buy to Open","QQQ 09/30/2026 585.00 P","PUT INVESCO QQQ TR $585 EXP 09/30/26","1","$36.94","$0.66","-$3694.66"
"03/09/2026","Sell to Close","QQQ 03/31/2026 580.00 P","PUT INVESCO QQQ TR $580 EXP 03/31/26","1","$11.69","$0.66","$1168.34"
"03/09/2026 as of 03/06/2026","Expired","QQQ 03/06/2026 616.00 C","CALL INVESCO QQQ TR $616 EXP 03/06/26","-1","","",""
"03/06/2026","Sell to Close","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$8.41","$0.66","$840.34"
"03/06/2026","Sell to Close","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$8.54","$0.66","$853.34"
"03/06/2026","Buy to Open","QQQ 09/30/2026 585.00 P","PUT INVESCO QQQ TR $585 EXP 09/30/26","1","$35.40","$0.66","-$3540.66"
"03/05/2026","Buy to Open","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$10.69","$0.66","-$1069.66"
"03/05/2026","Buy to Open","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$10.67","$0.66","-$1067.66"
"03/05/2026","Sell to Close","QQQ 03/31/2026 565.00 P","PUT INVESCO QQQ TR $565 EXP 03/31/26","1","$5.90","$0.66","$589.34"
"03/05/2026","Sell to Close","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$10.48","$0.66","$1047.34"
"03/04/2026","Buy to Open","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$11.18","$0.66","-$1118.66"
"03/04/2026","Buy to Open","QQQ 03/31/2026 615.00 C","CALL INVESCO QQQ TR $615 EXP 03/31/26","1","$9.60","$0.66","-$960.66"
"03/04/2026","Sell to Close","XOM 12/18/2026 145.00 C","CALL EXXON MOBIL CORP $145 EXP 12/18/26","1","$19.41","$0.66","$1940.34"
"03/03/2026","Sell to Close","SPY 03/06/2026 675.00 P","PUT SPDR S&P ...500 $675 EXP 03/06/26","1","$3.35","$0.66","$334.34"
"03/02/2026","Buy to Open","QQQ 04/30/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 04/30/26","1","$17.39","$0.66","-$1739.66"
"03/02/2026","Buy to Open","SPY 03/06/2026 675.00 P","PUT SPDR S&P ...500 $675 EXP 03/06/26","1","$2.59","$0.66","-$259.66"
"03/02/2026","Qualified Dividend","COP","CONOCOPHILLIPS","","","","$16.80"
"02/27/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$102.48"
"02/27/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","102.48","$1.00","","-$102.48"
"02/27/2026","Buy to Open","QQQ 03/06/2026 616.00 C","CALL INVESCO QQQ TR $616 EXP 03/06/26","1","$2.99","$0.66","-$299.66"
"02/27/2026","Sell to Close","QQQ 03/06/2026 616.00 C","CALL INVESCO QQQ TR $616 EXP 03/06/26","1","$2.47","$0.66","$246.34"
"02/27/2026","Buy to Open","QQQ 03/06/2026 616.00 C","CALL INVESCO QQQ TR $616 EXP 03/06/26","1","$2.91","$0.66","-$291.66"
"02/23/2026 as of 02/20/2026","Expired","NVDA 02/20/2026 155.00 P","PUT NVIDIA CORP $155 EXP 02/20/26","-1","","",""
"02/18/2026","Sell to Close","SPY 02/20/2026 689.00 C","CALL SPDR S&P ...500 $689 EXP 02/20/26","1","$3.02","$0.66","$301.34"
"02/17/2026","Sell to Close","TSLA 05/15/2026 460.00 C","CALL TESLA INC $460 EXP 05/15/26","1","$20.80","$0.66","$2079.34"
"02/17/2026","Buy to Open","SPY 02/20/2026 689.00 C","CALL SPDR S&P ...500 $689 EXP 02/20/26","1","$1.77","$0.66","-$177.66"
"02/17/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-5,000","","",""
"02/17/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","5,000","","",""
"02/13/2026","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","5,000","$1.00","","$5000.00"
"02/13/2026","Sell to Close","QQQ 02/13/2026 607.00 C","CALL INVESCO QQQ TR $607 EXP 02/13/26","1","$0.26","$0.66","$25.34"
"02/13/2026","Buy to Open","SLV 09/30/2026 100.00 C","CALL ISHR SILVER TR $100 EXP 09/30/26","1","$6.30","$0.66","-$630.66"
"02/13/2026","Buy to Open","NVDA 05/15/2026 155.00 P","PUT NVIDIA CORP $155 EXP 05/15/26","1","$6.50","$0.66","-$650.66"
"02/13/2026","Buy to Open","TSLA 05/15/2026 460.00 C","CALL TESLA INC $460 EXP 05/15/26","1","$24.80","$0.66","-$2480.66"
"02/12/2026","Buy to Open","QQQ 02/13/2026 607.00 C","CALL INVESCO QQQ TR $607 EXP 02/13/26","1","$2.17","$0.66","-$217.66"
"02/09/2026","Buy to Open","OKLO 04/17/2026 100.00 C","CALL OKLO INC $100 EXP 04/17/26","1","$5.10","$0.66","-$510.66"
"02/09/2026","Buy to Open","OKLO 06/18/2026 115.00 C","CALL OKLO INC $115 EXP 06/18/26","1","$6.85","$0.66","-$685.66"
"02/06/2026","Buy to Open","QQQ 03/31/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 03/31/26","1","$14.10","$0.66","-$1410.66"
"02/06/2026","Buy to Open","MOH 01/15/2027 250.00 C","CALL MOLINA HEALTHCARE I$250 EXP 01/15/27","1","$6.00","$0.66","-$600.66"
"02/05/2026","Buy to Open","NVDA 09/18/2026 155.00 P","PUT NVIDIA CORP $155 EXP 09/18/26","1","$14.55","$0.66","-$1455.66"
"02/05/2026","Buy to Open","GOOG 09/18/2026 300.00 P","PUT ALPHABET INC $300 EXP 09/18/26","1","$22.05","$0.66","-$2205.66"
"02/05/2026","Buy to Open","AAPL 08/21/2026 240.00 P","PUT APPLE INC $240 EXP 08/21/26","1","$8.40","$0.66","-$840.66"
"02/04/2026","Sell to Close","IREN 05/15/2026 70.00 C","CALL IREN LTD $70 EXP 05/15/26","1","$5.30","$0.66","$529.34"
"02/04/2026","Sell to Close","QQQ 02/27/2026 615.00 P","PUT INVESCO QQQ TR $615 EXP 02/27/26","1","$14.36","$0.66","$1435.34"
"02/03/2026","Sell to Close","QQQ 02/06/2026 618.00 P","PUT INVESCO QQQ TR $618 EXP 02/06/26","1","$7.00","$0.66","$699.34"
"02/03/2026","Sell","BIDU","BAIDU INC F","23","$145.865","","$3354.90"
"02/03/2026","Buy to Open","QQQ 02/06/2026 618.00 P","PUT INVESCO QQQ TR $618 EXP 02/06/26","1","$1.81","$0.66","-$181.66"
"02/02/2026","Buy to Open","QQQ 03/31/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 03/31/26","1","$10.90","$0.66","-$1090.66"
"02/02/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","18.21","","",""
"02/02/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-18.21","","",""
"01/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$14.53"
"01/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$122.29"
"01/30/2026","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$18.21"
"01/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","14.53","$1.00","","-$14.53"
"01/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","122.29","$1.00","","-$122.29"
"01/30/2026","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","18.21","$1.00","","-$18.21"
"01/30/2026","Buy to Open","QQQ 03/31/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 03/31/26","1","$11.71","$0.66","-$1171.66"
"01/30/2026","Buy to Open","OKLO 06/18/2026 115.00 C","CALL OKLO INC $115 EXP 06/18/26","1","$11.70","$0.66","-$1170.66"
"01/30/2026","Buy to Open","SMR 06/18/2026 30.00 C","CALL NUSCALE PWR CORP $30 EXP 06/18/26","5","$2.25","$3.30","-$1128.30"
