"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/10/2023","10/10/2023","10/11/2023","SPY","SPY 10/13/2023 Call $444.00","STC","1","$0.30","$29.98"
"10/9/2023","10/9/2023","10/10/2023","SPY","SPY 10/13/2023 Call $444.00","BTO","1","$0.07","($7.00)"
"10/6/2023","10/6/2023","10/10/2023","SPY","SPY 10/6/2023 Call $430.00","STC","1","$0.21","$20.98"
"10/6/2023","10/6/2023","10/10/2023","SPY","SPY 10/6/2023 Call $425.00","STC","1","$0.80","$79.98"
"10/6/2023","10/6/2023","10/10/2023","SPY","SPY 10/6/2023 Call $425.00","BTO","1","$0.43","($43.00)"
"10/6/2023","10/6/2023","10/10/2023","SPY","SPY 10/6/2023 Call $430.00","BTO","1","$0.04","($4.00)"
"10/6/2023","10/6/2023","10/11/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","40","$12.40","$496.04"
"10/5/2023","10/5/2023","10/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$12.35","($123.50)"
"10/5/2023","10/5/2023","10/6/2023","SPY","SPY 10/5/2023 Put $422.00","STC","1","$1.13","$112.98"
"10/5/2023","10/5/2023","10/6/2023","SPY","SPY 10/5/2023 Put $422.00","BTO","1","$0.82","($82.00)"
"10/5/2023","10/5/2023","10/6/2023","SPY","SPY 11/3/2023 Call $443.00","STC","1","$1.40","$139.98"
"10/5/2023","10/5/2023","10/6/2023","SPY","SPY 11/3/2023 Call $443.00","BTO","1","$1.55","($155.00)"
"10/4/2023","10/4/2023","10/6/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$12.52","($125.19)"
"10/3/2023","10/3/2023","10/5/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","6","$39.48","$236.89"
"10/3/2023","10/3/2023","10/5/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","6","$39.28","$235.68"
"10/3/2023","10/3/2023","10/5/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$40.51","($81.02)"
"10/2/2023","10/2/2023","10/4/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","10","$40.61","($406.13)"
"10/2/2023","10/2/2023","10/4/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$12.15","($121.50)"
"10/2/2023","10/2/2023","10/4/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$12.18","($121.80)"
"9/29/2023","9/29/2023","10/3/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$41.69","$166.77"
"9/28/2023","9/28/2023","10/2/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$41.42","($82.84)"
"9/28/2023","9/28/2023","9/29/2023","UVXY","UVXY 12/15/2023 Put $15.00","STC","1","$2.85","$284.98"
"9/27/2023","9/27/2023","9/27/2023","SPXU","Cash Div: R/D 2023-09-21 P/D 2023-09-27 - 10 shares at 0.173985","CDIV","","","$1.74"
"9/27/2023","9/27/2023","9/29/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$40.58","($81.16)"
"9/27/2023","9/27/2023","9/28/2023","UVXY","UVXY 12/15/2023 Call $10.00","STC","1","$7.20","$719.98"
"9/27/2023","9/27/2023","9/28/2023","UVXY","UVXY 12/15/2023 Call $10.00","BTO","1","$7.40","($740.00)"
"9/27/2023","9/27/2023","9/28/2023","UVXY","UVXY 12/15/2023 Put $15.00","BTO","1","$2.52","($252.00)"
"9/27/2023","9/27/2023","9/29/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","19","$12.06","$229.24"
"9/27/2023","9/27/2023","9/29/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","6","$39.93","$239.58"
"9/27/2023","9/27/2023","9/29/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","7","$40.90","$286.31"
"9/26/2023","9/26/2023","9/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","16","$12.04","$192.56"
"9/26/2023","9/26/2023","9/28/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$40.63","($81.26)"
"9/26/2023","9/26/2023","9/28/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$40.72","($81.45)"
"9/26/2023","9/26/2023","9/28/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$40.78","($81.57)"
"9/26/2023","9/26/2023","9/28/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$40.95","($40.95)"
"9/26/2023","9/26/2023","9/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.96","($119.57)"
"9/26/2023","9/26/2023","9/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$11.82","($59.10)"
"9/25/2023","9/25/2023","9/27/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$42.24","($84.49)"
"9/25/2023","9/25/2023","9/27/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","4","$42.51","($170.04)"
"9/25/2023","9/25/2023","9/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.60","($116.05)"
"9/25/2023","9/25/2023","9/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.70","($117.00)"
"9/25/2023","9/25/2023","9/27/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$42.10","$84.19"
"9/22/2023","9/22/2023","9/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$42.25","($84.50)"
"9/22/2023","9/22/2023","9/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$11.54","$57.70"
"9/22/2023","9/22/2023","9/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","2","$11.54","$23.08"
"9/22/2023","9/22/2023","9/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","1","$11.58","$11.58"
"9/22/2023","9/22/2023","9/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","2","$11.57","$23.14"
"9/22/2023","9/22/2023","9/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$42.97","$85.94"
"9/22/2023","9/22/2023","9/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$43.07","$43.07"
"9/22/2023","9/22/2023","9/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$43.03","$43.03"
"9/21/2023","9/21/2023","9/25/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$11.49","$114.90"
"9/20/2023","9/20/2023","9/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","20","$10.98","$219.60"
"9/20/2023","9/20/2023","9/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.71","($107.08)"
"9/20/2023","9/20/2023","9/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.77","($107.70)"
"9/20/2023","9/20/2023","9/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$46.17","($92.34)"
"9/20/2023","9/20/2023","9/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$46.25","($92.50)"
"9/20/2023","9/20/2023","9/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.64","($106.39)"
"9/19/2023","9/19/2023","9/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.94","($109.40)"
"9/19/2023","9/19/2023","9/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$10.98","$164.70"
"9/19/2023","9/19/2023","9/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$11.03","$165.50"
"9/19/2023","9/19/2023","9/20/2023","SPY","SPY 10/6/2023 Put $435.00","STC","1","$2.21","$220.98"
"9/15/2023","9/15/2023","9/18/2023","SPY","SPY 10/6/2023 Put $435.00","BTO","1","$1.99","($199.00)"
"9/15/2023","9/15/2023","9/19/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","6","$46.22","$277.34"
"9/15/2023","9/15/2023","9/19/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.70","($106.97)"
"9/15/2023","9/15/2023","9/19/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","20","$10.66","($213.14)"
"9/15/2023","9/15/2023","9/19/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$47.36","($94.72)"
"9/15/2023","9/15/2023","9/19/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$47.52","($95.05)"
"9/14/2023","9/14/2023","9/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$48.10","$96.20"
"9/14/2023","9/14/2023","9/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$47.33","($47.33)"
"9/14/2023","9/14/2023","9/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$47.48","($47.48)"
"9/13/2023","9/13/2023","9/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$46.78","($93.57)"
"9/13/2023","9/13/2023","9/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","12","$10.68","$128.13"
"9/13/2023","9/13/2023","9/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$10.68","$106.80"
"9/12/2023","9/12/2023","9/14/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.68","($106.85)"
"9/11/2023","9/11/2023","9/13/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$47.09","$47.09"
"9/11/2023","9/11/2023","9/13/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$47.19","$47.19"
"9/11/2023","9/11/2023","9/13/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$47.44","$47.44"
"9/8/2023","9/8/2023","9/12/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","12","$10.72","($128.70)"
"9/8/2023","9/8/2023","9/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","3","$47.13","($141.39)"
"9/8/2023","9/8/2023","9/12/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","40","$10.67","$426.80"
"9/7/2023","9/7/2023","9/11/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.84","($108.40)"
"9/6/2023","9/6/2023","9/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","15","$10.71","($160.60)"
"9/6/2023","9/6/2023","9/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$10.82","$162.23"
"9/6/2023","9/6/2023","9/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","20","$10.76","($215.13)"
"9/6/2023","9/6/2023","9/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.55","($105.55)"
"9/6/2023","9/6/2023","9/8/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$47.57","$142.72"
"9/5/2023","9/5/2023","9/7/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$10.41","$104.12"
"9/5/2023","9/5/2023","9/7/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$48.03","$96.05"
"9/1/2023","9/1/2023","9/6/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","20","$10.36","$207.20"
"9/1/2023","9/1/2023","9/6/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","5","$49.11","$245.56"
"8/31/2023","8/31/2023","9/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","20","$10.33","($206.64)"
"8/31/2023","8/31/2023","9/5/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","10","$48.83","($488.30)"
"8/31/2023","8/31/2023","9/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$10.36","$103.65"
"8/31/2023","8/31/2023","9/5/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","6","$48.65","$291.92"
"8/30/2023","8/30/2023","9/1/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$48.32","($241.58)"
"8/29/2023","8/29/2023","8/31/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","20","$10.51","($210.26)"
"8/29/2023","8/29/2023","8/31/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$47.67","$95.34"
"8/25/2023","8/25/2023","8/29/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","13","$11.22","$145.80"
"8/25/2023","8/25/2023","8/29/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","3","$44.81","($134.42)"
"8/25/2023","8/25/2023","8/29/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$11.32","$169.82"
"8/25/2023","8/25/2023","8/29/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$11.40","$114.03"
"8/24/2023","8/24/2023","8/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","20","$11.16","($223.10)"
"8/23/2023","8/23/2023","8/25/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","20","$10.89","$217.80"
"8/22/2023","8/22/2023","8/24/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.22","($112.18)"
"8/22/2023","8/22/2023","8/24/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$44.96","$89.92"
"8/21/2023","8/21/2023","8/23/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$44.04","($88.07)"
"8/18/2023","8/18/2023","8/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$43.84","$87.67"
"8/18/2023","8/18/2023","8/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$43.65","$43.65"
"8/18/2023","8/18/2023","8/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$43.32","$86.65"
"8/17/2023","8/17/2023","8/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.21","($112.09)"
"8/17/2023","8/17/2023","8/21/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$45.43","($227.15)"
"8/17/2023","8/17/2023","8/21/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","5","$45.18","$225.92"
"8/16/2023","8/16/2023","8/18/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","17","$11.04","$187.70"
"8/15/2023","8/15/2023","8/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","5","$46.27","$231.36"
"8/15/2023","8/15/2023","8/17/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.81","($108.07)"
"8/15/2023","8/15/2023","8/17/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.80","($107.98)"
"8/15/2023","8/15/2023","8/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$47.54","($47.54)"
"8/14/2023","8/14/2023","8/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$47.03","($47.03)"
"8/11/2023","8/11/2023","8/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$47.37","($47.37)"
"8/11/2023","8/11/2023","8/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$10.81","($54.04)"
"8/11/2023","8/11/2023","8/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.81","($108.09)"
"8/10/2023","8/10/2023","8/14/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$47.91","($95.82)"
"8/9/2023","8/9/2023","8/11/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$48.02","($48.02)"
"8/8/2023","8/8/2023","8/10/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$48.14","($48.15)"
"8/8/2023","8/8/2023","8/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","4","$10.46","$41.85"
"8/8/2023","8/8/2023","8/10/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$47.86","($47.86)"
"8/8/2023","8/8/2023","8/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","4","$10.53","$42.12"
"8/4/2023","8/4/2023","8/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","7","$10.55","$73.85"
"8/4/2023","8/4/2023","8/8/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$48.86","$97.71"
"8/2/2023","8/2/2023","8/4/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$10.28","$154.23"
"7/31/2023","7/31/2023","8/2/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$9.87","($98.69)"
"7/27/2023","7/27/2023","7/31/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$50.15","($50.15)"
"7/27/2023","7/27/2023","7/31/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$9.87","($98.71)"
"7/27/2023","7/27/2023","7/31/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","3","$51.57","($154.71)"
"7/26/2023","7/26/2023","7/28/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$51.03","$51.03"
"7/25/2023","7/25/2023","7/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$9.86","($98.63)"
"7/24/2023","7/24/2023","7/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$10.01","$100.10"
"7/24/2023","7/24/2023","7/25/2023","AMC","AMC 9/15/2023 Call $7.00","STC","1","$0.47","$46.98"
"7/6/2023","7/6/2023","7/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.08","($110.80)"
"7/6/2023","7/6/2023","7/10/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$45.44","$181.74"
"6/29/2023","6/29/2023","7/3/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$45.81","($229.05)"
"6/29/2023","6/29/2023","7/3/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$11.03","$110.33"
"6/28/2023","6/28/2023","6/28/2023","SPXU","Cash Div: R/D 2023-06-22 P/D 2023-06-28 - 20 shares at 0.136673","CDIV","","","$2.73"
"6/28/2023","6/28/2023","6/30/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.23","($112.28)"
"6/28/2023","6/28/2023","6/30/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","1","$45.00","$45.00"
"6/22/2023","6/22/2023","6/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$45.05","($45.05)"
"6/21/2023","6/21/2023","6/23/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","20","$11.18","$223.50"
"6/20/2023","6/20/2023","6/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$45.86","$137.58"
"6/20/2023","6/20/2023","6/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.19","($111.90)"
"6/20/2023","6/20/2023","6/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$45.28","$135.85"
"6/16/2023","6/16/2023","6/21/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","3","$47.32","($141.95)"
"6/16/2023","6/16/2023","6/21/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$47.23","$141.69"
"6/16/2023","6/16/2023","6/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$10.85","($108.48)"
"6/15/2023","6/15/2023","6/20/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$11.08","$110.80"
"6/15/2023","6/15/2023","6/20/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$11.18","($111.77)"
"6/14/2023","6/14/2023","6/16/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","12","$11.15","$133.80"
